Number;Plant Name;Additional names and variants;Formal Botanical Name;Animal Species Afflicted
1;Adonis;Autumn Adonis, Autumn Pheasant's Eye, Blooddrops, Pheasant's Eye, Red Chamomile, Red Morocco;Adonis;Sheep Cows Pigs Chickens Geese Turkeys Ducks Rabbits
2;Alsike Clover;;Trifolium hybridum;Equines
3;Arrowgrass;Marsh Arrow-Grass, Seaside Arrow-Grass;Triglochin;Cows Sheep
4;Azaleas;;Rhododendron;Sheep Equines Llamas Alpacas Chickens Turkeys Ducks Geese Rabbits
5;Baneberry;Bugbane, Cohosh;Actea rubra;Cows Equines Rabbits
6;Bellyache Bush;Wild Cassava, Physic Nut, Physicnut;Jatropha gossypiifolia;Chickens Turkeys Ducks Geese
7;Bitter Almond;;Prunus amygdalus var. amara;Chickens Turkeys Ducks Geese
8;Bitterweed;Rubberweed, Colorado Rubberweed, Pingue;Hymenoxys;Sheep Cows
9;Black Henbane;Hogs Bean, Henbane, Stinking Nightshade;Hyoscyamus niger;Cows Chickens Turkeys Ducks Geese Rabbits
10;Black Locust;False Acacia;Robinia pseudoacacia;Sheep Goats Cows Equines Llamas Alpacas Chickens Turkeys Ducks Geese Rabbits
11;Black Walnut;;Juglans nigra;Equines
12;Bouncing Bet;Common Soapwort, Crow Soap, Soapweed Wild Sweet William;Saponaria officinalis;Sheep Cows
13;Box Elder Maple;Boxelder Maple, Ash Leaf Maple, Elf Maple Manitoba Maple;Acer negundo;Equines Chickens Turkeys Ducks Geese
14;Bracken Fern;Brake Fern, Eagle Fern;Pteridium aquilinum;Sheep Cows Pigs Equines Chickens Turkeys Ducks Geese
15;Buckeye;Horse Chestnut;Aesculus;Equines Chickens Turkeys Ducks Geese Rabbits
16;Buckwheat;;Fagopyrum esculentum;Sheep Goats Cows Turkeys
17;Buffalo Bur;Colorado Bur, Kansas Thistle, Mexican Thistle, Spiny Nightshade, Texas Thistle;Solanum rostratum;Sheep Cows Equines Rabbits
18;Buttercup;;Ranunculus;Equines Cows Rabbits
19;Butterfly Milkweed;Butterfly Weed;Asclepias tuberosa;Cows
20;Cardinal Flower;Blue Cardinalflower, Indian Tobacco;Lobelia cardinalis, Lobelia inflata, Lobelia siphilitica;Chickens Turkeys Ducks Geese
21;Carolina Jessamine;Yellow Jessamine, Evening Trumpet Vine, Woodbine;Gelsemium sempervirens;Goats Cows Chickens Turkeys Ducks Geese Sheep Equines Pigs Llamas Alpacas
22;Castor Bean;;Ricinus communis;Sheep Goats Cows Pigs Llamas Alpacas Chickens Turkeys Ducks Geese Equines Rabbits
23;Cherry Trees;Black Cherry, Choke Cherry, Pin Cherry, Wild Cherry;Prunus;Goats Sheep Pigs Llamas Alpacas Chickens Turkeys Ducks Geese Equines Rabbits
24;China Berry;Bead-Tree, Cape Lilac, Chinaberry, Indian Lilac, Persian Lilac, Pride Of India, White Cedar;Melia azedarach;Cows Pigs Chickens Turkeys Ducks Geese Equines Rabbits
25;Christmas Rose;Black Hellabore;Helleborus niger;Chickens Turkeys Ducks Geese Equines Goats Sheep Cows Pigs Llamas Alpacas Rabbits
26;Climbing Lily;Creeping Lily, Flame Lily, Fire Lily, Gloriosa Lily, Glory Lily, Superb Lily;Gloriosa superba;Chickens Turkeys Ducks Geese Equines Cows Sheep Pigs Alpacas Goats Llamas
27;Clover;Specifically Red Clover and White Clover;Trifolium pratense, Trifolium repens;Equines Cows
28;Cocklebur;;Xanthium;Sheep Cows Pigs Chickens Turkeys Ducks Geese Rabbits
29;Coffee;The plant's husk;Coffea;Chickens Turkeys Ducks Geese Equines Cows Goats Sheep Alpacas Llamas Pigs
30;Coffee Senna;Bana Chakunda, Coffeeweed, Mogdad Coffee, Septicweed, Stephanie Coffee, Stinkingweed, Styptic Weed;Senna occidentalis;Chickens Turkeys Ducks Geese Equines Rabbits
31;Comfrey;Prickly Comfrey;Symphytum officinale L., Symphytum asperum;Llamas Alpacas Rabbits
32;Copperweed;;Oxytenia acerosa;Cows Sheep
33;Corn Cockle;Corncockle;Agrostemma;Chickens Turkeys Ducks Geese Rabbits
34;Cottonseed;Mexican Cotton, Upland Cotton;Gossypium hirsutum;Chickens Turkeys Ducks Geese Pigs
35;Cow Cockle;China Cockle, Cow-Herb, Spring Cockle, Dairy Pink;Vaccaria hispanica;Sheep Cows Equines
36;Creeping Buttercup;Bulbous Buttercup, Creeping crowfoot, Sitfast;Ranunculus repens, Ranunculus bulbosus;Pigs Alpacas Llamas Equines Rabbits
37;Creeping Indigo;Spicate Indigo, Trailing Indigo;Indigofera hendecaphylla;Chickens Turkeys Ducks Geese Equines Cows Sheep Pigs Llamas Alpacas Goats
38;Crotalaria;Rattlebox, Rattlepod, Showy Rattlebox;Crotalaria spectabilis;Sheep Goats Cows Chickens Turkeys Ducks Geese
39;Crown Vetch;Purple Crown Vetch;Securigera varia;Pigs Chickens Turkeys Ducks Geese Equines
40;Curly Leaved Dock;Curled Dock, Curly Dock, Garden-Sorrel, Sheep Sorrel, Sorrel, Sour Dock, Veined Dock, Yellow Dock;Rumex acetosa, Rumex crispus, Rumex venosus;Sheep Cows Chickens Turkeys Ducks Geese Equines Rabbits
41;Cestrum;Day Blooming Jasmine, Night Blooming Jasmine, Jessamine;Cestrum;Sheep Goats Cows Pigs Equines Chickens Ducks Geese Turkeys
42;Death Camas;Deadly Zigadene, Deathcamas, Hog Potato, Mystery Grass, White Camas;Toxicoscordion fremontii;Sheep Cows Pigs Llamas Alpacas Chickens Turkeys Ducks Geese
43;Desert Baileya;Desert Marigold;Baileya;Sheep Goats Cows
44;Dogbane;Amy Root, Bitter Root, Hemp Dogbane, Indian Hemp, Spreading Dogbane, Wild Cotton;Apocynum cannabinum;Sheep Cows Chickens Turkeys Ducks Geese Rabbits
45;Elderberry;American Elder, Elder, European Elder;Sambucus;Sheep Cows Rabbits
46;Emerald Feather;Asparagus Fern, Emerald Fern, Plumosa Fern, Shatavari, Spaghetti Fern, Sprengeri Fern;Asparagus densiflorus;Chickens Turkeys Ducks Geese Equines
47;English Ivy;Common Ivy, European Ivy, Ivy;Hedera helix;Sheep Cows Equines Rabbits
48;European Spindletree;Common Spindle, Euonymus, European Spindle, Spindle;Euonymus europaeus;Turkeys Ducks Geese Chickens Goats Sheep Equines Rabbits
49;Fiddleneck;Tarweed, Yellow Bur Weed;Amsinckia;Cows Pigs Llamas Alpacas Turkeys Ducks Geese Equines
50;Foxglove;;Digitalis;Sheep Cows Turkeys Ducks Geese Alpacas Chickens Goats Pigs Equines Llamas Rabbits
51;Flax Plant;Blue Flax, Common Flax, Linseed;Linum;Sheep Goats Cows
52;Flix Weed;Green Tansy Mustard, Herb-Sophia, Tansy Mustard;Descurainia sophia, Descurainia pinnata;Cows
53;Fly Poison;Crow Poison, Stagger Grass;Amianthium muscitoxicum;Cows Turkeys Ducks Geese
54;Giant Hogweed;Cartwheel Flower, Cow Parsnip, Giant Cow Parsley, Giant Cow Parsnip, Hogsbane Wild Parsnip, Wild Rhubarb;Heracleum mantegazzianum;Turkeys Ducks Geese Chickens
55;Goats Rue;Galega, Professor Weed, French Lilac, Italian Fitch;Galega officinalis;Sheep Goats
56;Goldenbanner;Yellow Pea, False Lupine;Thermopsis villosa, Thermopsis macrophylla;Cows
57;Golden Chain;Golden Rain, Laburnum;Laburnum;Cows Pigs Equines Rabbits
58;Gooseberry;;Ribes uva-crispa, Ribes grossularia;Geese Ducks Turkeys Chickens Cows
59;Greasewood;Chico;Sarcobatus vermiculatus;Sheep Cows
60;Green Cestrum;Green Poison Berry, Chilean Cestrum, Willow-leaved Jessamine, Mortal Nightshade;Cestrum parqui;Turkeys Ducks Geese Cows Sheep Equines Chickens Llamas Alpacas Goats Pigs
61;Ground Cherry;Chinese Lantern;Physalis;Cows Equines Rabbits
62;Ground Mexican Poppy;;Argemone mexicana;Turkeys Ducks Geese Chickens Cows Goats Sheep Rabbits
63;Groundsel;Entire-Leaved Groundsel;Senecio Vulgaris, Senecio integerrimus;Cows Llamas Alpacas Equines
64;Gumweed;;Grindelia;Cows Equines
65;Hairy Vetch, Common Vetch;;Vicia villosa, Vicia sativa;Cows Chickens Turkeys Ducks Geese Equines
66;Halogeton;barilla, saltlover;Halogeton glomeratus;Sheep Cows
67;Heliotrope;Spatulate-Leaved Heliotrope;Heliotropium;Chickens Turkeys Ducks Geese Cows Equines Pigs Sheep Llamas Alpacas
68;Holly;American Hlly;Quercus, Ilex;Chickens Turkeys Ducks Geese Rabbits
69;Horsebrush;;Tetradymia;Sheep
70;Horse Nettle;Apple Of Sodom, Bull Nettle, Devil's Tomato, Horsenettle, Radical Weed, Sand Briar, Tread-Softly,Wild Tomato;Solanum carolinense;Sheep Goats Cows Pigs Equines Chickens Turkeys Ducks Geese Rabbits
71;Horsetail;Field Horsetail, Marsh Horsetail, Scouring Rush;Equisetum;Sheep Cows Equines
72;Houndstongue;Hounds Tongue;Cynoglossum officinale;Sheep Goats Cows Llamas Alpacas Equines
73;Jack In The Pulpit;;Arisaema triphyllum;Chickens Turkeys Ducks Geese Rabbits
74;Japanese Pieris;Dwarf Lilly-of-the-Valley Shrub, Japanese andromeda;Pieris japonica;Sheep Goats Cows Llamas Alpacas Equines Rabbits
75;Jimmy Weed;Burrow Weed, Rayless Goldenrod;Isocoma pluriflora;Sheep Goats Equines Cows
76;Jimsonweed;Angel's Trumpet, Devil's Snare, Jimson Weed, Thorn Apple;Datura stramonium, Datura innoxia;Sheep Goats Cows Pigs Equines Llamas Alpacas Chickens Turkeys Ducks Geese Rabbits
77;Johnson Grass;Johnsongrass;Sorghum halepense;Goats Cows Chickens Turkeys Ducks Geese Equines
78;Kentucky Coffeetree;;Gymnocladus dioicus;Sheep Cows
79;Kochia;Belvedere, Burningbush, Firebush, Mexican Firebush, Mexican Fireweed, Mock-Cypress, Ragweed, Summer Cypress;Bassia scoparia;Sheep Goats Cows Llamas Alpacas Equines
80;Lambs Quarter;Lambsquarters;Chenopodium;Sheep Goats Cows Chickens Turkeys Ducks Geese
81;Lantana;Yellow Sage;Lantana, Lantana camara;Sheep Cows Chickens Turkeys Ducks Geese Rabbits
82;Larkspur;Foothills Larkspur, Low Larkspur, Tall Larkspur, Menzies Larkspur;Delphinium barbeyi, Delphinium bicolor, Delphinium glaucum, Delphinium menziesii;Cows Equines Rabbits
83;Laurel;Bog Laurel, Calico Bush, Mountain Laurel, Sheep Laurel, Western Minniebush;Kalmia, Menziesia ferruginea;Sheep Goats Cows Llamas Alpacas Equines
84;Spurge;Cypress Spurge, Leafy Spurge, Petty Spurge, Sun Spurge;Euphorbia;Cows Equines Rabbits
85;Leucaena;White Leadtree, Guaje, Huaxin, Jumbay, Koa Haole, River Tamarind, Subabul, White Popinac;Leucaena leucocephala;Sheep Goats Cows Pigs Equines
86;Lily Of The Valley;;Convallaria majalis;Chickens Turkeys Ducks Geese Cows Goats Sheep Pigs Equines Llamas Alpacas Rabbits
87;Locoweed;Blue Locoweed, Crazyweed, Logo, Purple Locoweed, Spotted Locoweed, Wolly Locoweed;Astragalus lentiginosus, Astragalus mollissimus;Sheep Cows Equines Rabbits
88;Longstalk Sprinparsley;;Cymopterus longipes;Chickens Turkeys Ducks Geese
89;Lupine;Burkes Lupine, Large-Leaved Lupine, Silky Lupine, Silvery Lupine, Small Lupine;Lupinus;Sheep Cows Llamas Alpacas Chickens Turkeys Ducks Geese Equines Rabbits
90;Marsh Marigold;Kingcup, Marsh-Marigold;Caltha palustris;Cows Rabbits
91;Marsh Arrowgrass;Marsh Arrow-Grass;Triglochin palustris;Sheep Cows
92;May Apple;American Mandrake, Ground Lemon, Mayapple, Wild Mandrake;Podophyllum;Cows Rabbits
93;Meadow Saffron;Autumn Crocus, Naked Ladies;Colchicum autumnale;Chickens Turkeys Ducks Geese Cows Goats Sheep Pigs Equines Llamas Alpacas Rabbits
94;Milk Thistle;Blessed Milkthistle, Cardus Marianus, Marian Thistle, Mary Thistle, Mediterranean Milk Thistle, Saint Mary's Thistle, Scotch Thistle, Variegated Thistle;Silybum marianum;Sheep Goats Llamas Alpacas
95;Milk Vetch;Canadian Milk-Vetch, Timber Milk-Vetch;Astragalus;Cows
96;Milkweed;Common Milkweed, Eastern Whorled Milkweed, Showy Milkweed;Asclepias;Sheep Goats Equines Chickens Turkeys Ducks Geese Rabbits
97;Mistletoe;;Viscum album, Phoradendron serotinum;Chickens Turkeys Ducks Geese Rabbits
98;Monkshood;Aconite, Blue Rocket, Devil's Helmet, Leopard's Bane, Mousebane, Queen Of Poisons, Wolfsbane Women's Bane;Aconitum;Sheep Goats Cows Chickens Turkeys Ducks Geese Equines Rabbits
99;Mountain Mahogany;;Cercocarpus;Cows
100;Mustards;Indian Mustard, Kale, Rapeseed, Swede, Turnip, Canola, Wild Cabbage, Wild Mustard;Brassica, Sinapis arvensis;Sheep Cows Pigs Rabbits
101;Nardoo;;Marsilea drummondii;Chickens Turkeys Ducks Geese Equines
102;Nightshades;;Solanaceae;Sheep Goats Cows Pigs Equines Llamas Alpacas Chickens Turkeys Ducks Geese Rabbits
103;Nolina;Bear Grass, Beargrass, Bunch Grass;Nolina;Sheep Goats
104;Oaks;Acorns & Young Shoots;Quercus;Sheep Cows Pigs Equines Ducks Geese Rabbits
105;Oaks;Specifically Black Oaks, Chestnut Oaks, Red Oaks, Pin Oaks, White Oaks;Quercus;Equines Rabbits
106;Onions;Wild Onion;Allium cepa, Allium Canadense;Sheep Goats Cows Rabbits
107;Oleander;Nerium;Nerium oleander;Sheep Goats Cows Llamas Alpacas Equines Rabbits
108;Paintbrush;Indian Paintbrush, Prarie-Fire;Castilleja coccinea;Cows Equines
109;Patterson's Curse;;Echium plantagineum;Chickens Turkeys Ducks Geese Equines Cows Pigs Goats Sheep
110;Perilla;Beafsteak Plant, Korean Perilla;Perilla frutescens;Sheep Cows
111;Periwinkle;;Vinca;Chickens Turkeys Ducks Geese Equines Rabbits
112;Pigweed;Prostrate Pigweed, Smooth Pigweed, Redroot Pigweed;Amaranthus retroflexus, Amaranthus blitoides, Amaranthus hybridus;Sheep Goats Cows Pigs Llamas Alpacas Equines Rabbits
113;Poison Hemlock;Australian Carrot Fern, Devil's Porridge, Hemlock, Irish Devil's Bread, Kecksies, Kex, Poison Parsley, Spotted Corobane, Spotted Hemlock;Conium maculatum;Sheep Goats Cows Pigs Equines Llamas Alpacas Chickens Turkeys Ducks Geese Rabbits
114;Pokeberry;American Pokeweed, Pokeweed, Poke Salad, Poke Sallet;Phytolacca americana;Cows Pigs Sheep Equines Llamas Alpacas Geese Ducks Turkeys Chickens
115;Ponderosa Pine;Blackjack Pine, Bull Pine, Western Yellow-Pine;Pinus ponderosa;Sheep Goats Cows
116;Prince's Plume;;Stanleya;Sheep Cows Equines
117;Puncture Vine;Goats Head, Caltrop;Tribulus terrestris;Cows Sheep
118;Purslane;Pusley;Portulaca;Sheep Cows Equines
119;Rain Lily;Atamasco Lily, Fairy Lily, Prarie Lily;Zephyranthes atamasco;Cows Geese Goats Sheep Equines Ducks Turkeys Chickens Llamas Alpacas
120;Ranger's Buttons;Button Parsley, Swamp White Heads, Wollyhead Parsnip;Angelica;Chickens Turkeys Ducks Geese Equines
121;Red Buckeye;Firecracker plant, Scarlet Buckeye, Woolly Buckeye;Aesculus pavia;Cows Pigs Equines Chickens
122;Red Maple Acer;;rubrum;Equines
123;Rhododendron;California Rose-Bay, White Rose-Bay;Rhododendron;Sheep Cows Pigs Equines Llamas Alpacas
124;Rosary Pea;Akar Saga, Coral Bead, Coondrimany, Crab's Eye, Indian Licorice, Love Pea, Jamaica Wild Licorice, John Crow Bead, Jequirity Bean, Jumbie Bead, Paternoster Pea, Prayer Bead, Precatory Pea, Red-Bead Vine, Wild Licorice;Abrus precatorius;Chickens Turkeys Ducks Geese Cows Goats Sheep Pigs Equines Llamas Alpacas Rabbits
125;Rubbervine;;Cryptostegia grandiflora;Chickens Turkeys Ducks Geese Cows Sheep Goats Pigs Equines Llamas Alpacas
126;Russian Thistle;Common Saltwort, Prickly Russian Thistle, Russian Knapweed, Tumbleweed, Windwitch, Yellow Thistle, Yellow Star-Thistle;Salsola tragus, Centaurea solstitialis;Cows Sheep Equines
127;Sabi Star;Desert Rose, Impala Lily, Kudu, Mock Azalea;Adenium obesum;Chickens Turkeys Ducks Geese Cows Sheep Goats Pigs Equines Llamas Alpacas
128;Sacred Bamboo;Chinese Heavenly Bamboo;Nandina domestica;Chickens Turkeys Ducks Geese Cows Sheep Goats Pigs Equines Llamas Alpacas
129;Sacred Datura;Tolguacha;Datura wrightii;Cows Pigs Equines
130;Sago Palm;Cardboard Palm, Coontie Palm, Funeral Palm, Japanese Sago, King Sago;Cycas revoluta;Chickens Turkeys Ducks Geese
131;Saint John's Wort;Goat Weed, Klamath Weed, St. John's Wort, Tipton Weed;Hypericum perforatum;Sheep Cows Pigs Llamas Alpacas Chickens Turkeys Ducks Geese
132;Saltbush;;Atriplex;Sheep Cows Equines
133;Sand Bur;Sandbur;Cenchrus longispinus;Cows Sheep Equines Goats Llamas Alpacas
134;Scarlet Pimpernel;;Lysimachia arvensis;Chickens Turkeys Ducks Geese Equines
135;Scotch Broom;;Cytisus scoparius;Sheep Cows Equines Rabbits
136;Serviceberry;Juneberry, Saskatooh Berry, Sarvis, Sarvisberry, Saskatoon, Shadblow, Shadbush, Shadwood, Sugarplum, Wild-Plum;Amelanchier;Sheep Goats Cows
137;Snakeweed;Broom Snakeweed, Broomweed, Matchweed, Turpentine Weed;Gutierrezia sarothrae;Sheep Goats Cows Equines Rabbits
138;Sneezeweed;Bitterweed, Naked-Flowered Sneezeweed, Orange Sneezeweed;Helenium;Sheep Goats Cows Equines
139;Snow On The Mountain;Smoke On The Prarie, Variegated Spurge, Whitemargined Spurge;Euphorbia marginata;Cows Equines Rabbits
140;Sophora;Coral Bean, Texas Mountain Laurel, Mescal Bean, Frijollito;Sophora secundiflora;Sheep Goats Cows
141;Spanish Gold;Rattlebox Tree, Coffee Weed, Brazillian Glory Pea;Sesbania punicea;Chickens Turkeys Ducks Geese Cows Sheep
142;Spiny Plants;Burs, Thistles, Needle grass;Various Species;Sheep Goats Llamas Alpacas
143;Spring Parsley;;Cymopterus;Chickens Turkeys Ducks Geese
144;Squirrel Corn;Bleeding Heart, Dutchmans Breeches, Western Bleedingheart;Dicentra canadensis;Cows Rabbits
145;Star Of Bethlehem;Eleven-O'Clock Lady, Grass Lily, Nap-At-Noon;Ornithogalum umbellatum;Chickens Turkeys Ducks Geese Goats Sheep Cows Alpacas Llamas Pigs Equines Rabbits
146;Suckleya;;Suckleya suckleyana;Sheep Cows
147;Sudan Grass;;Sorghum drummondii;Sheep Cows Llamas Alpacas Chickens Turkeys Geese Ducks Equines
148;Sweetclover;White Sweet-clover, Yellow Sweet-clover;Melilotus, Melilotus alba, Melilotus officinalis;Sheep Cows Equines
149;Sweet Pea;;Lathyrus odoratus;Chickens Turkeys Ducks Geese Equines Sheep Rabbits
150;Tall Buttercup;Common Buttercup, Giant Buttercup, Meadow Buttercup;Ranunculus acris;Sheep Goats Cows Equines Rabbits
151;Tall Fescue;;Festuca arundinacea;Equines Chickens Turkeys Geese Ducks Cows Goats Sheep Llamas Alpacas Pigs
152;Tansy Ragwort;Ragwort;Jacobaea vulgaris;Sheep Goats Cows Pigs Llamas Alpacas Chickens Turkeys Ducks Geese Equines Rabbits
153;Tobacco;Tree Tobacco;Nicotiana, Nicotiana glauca;Pigs Chickens Turkeys Ducks Geese Equines Rabbits
154;Toyon;Christmas Holly, Christmas Berry;Heteromeles arbutifolia;Chickens Turkeys Ducks Geese Equines
155;Two-Grooved Milk Vetch;;Astragalus bisulcatus;Sheep Equines Cows
156;Viper's Bugloss;Blueweed;Echium vulgare;Cows Equines
157;Water Hemlock;Beaver Poison, False Parsley, Wild Carrot, Wild Parsnip;Cicuta;Sheep Goats Cows Pigs Equines Llamas Alpacas Chickens Turkeys Ducks Geese Rabbits
158;White Snakeroot;Richweed, White Sanicle;Ageratina altissima;Cows Equines Llamas Alpacas Sheep Chickens Geese Goats Ducks Turkeys Pigs
159;Woody Aster;Woodyaster;Xylorrhiza glabriuscula;Cows Equines
160;Yew;Canada Yew, English Yew;Taxus;Sheep Cows Llamas Alpacas Chickens Turkeys Ducks Geese Equines Rabbits
161;Greater Celandine;;Chelidonium majus;Cows Rabbits
162;Iceland Poppy;Corn Poppy, Opium Poppy;Papaver nudicaule, Papaver rhoeas, Papaver somniferum;Cows Equines Sheep Rabbits
163;Wild Rhubarb;;Rheum rhaponticum;Goats Pigs Rabbits
164;Alder Buckthorn;Breaking Buckthorn, Glossy Buckthorn;Rhamnus frangula;Cows Rabbits
165;Hydrangea;;Hydrangea macrophylla;Cows Equines
166;Climbing Nightshade;Especially the immature fruit and leaves;Solanum dulcamara;Cows Sheep
167;Black Nightshade;;Solanum nigrum;Cows Chickens Turkeys Ducks Geese Pigs Rabbits
168;Stinkweed;;Thlaspi arvense;Cows
169;Velvety Goldenrod;Ashly Goldenrod, Soft Goldenrod;Solidago mollis;Cows Sheep
170;Sensitive Fern;Bead Fern;Onoclea sensibilis;Equines
171;Poet's Daffodil;Poet's Narcissus, Nargis, Pheasant's Eye, Findern Flower, Pinkster Lily;Narcissus poeticus;Cows Rabbits
172;Ground Ivy;Alehoof, Catsfoot, Field Balm, Run-Away-Robin, Gill-Over-The-Ground, Creeping Charlie, Tunhoof;Glechoma hederacea;Equines
173;Wild False Indigo;White Wild Indigo;Baptisia leucantha;Cows
174;Tall Mannagrass;American Mannagrass;Glyceria grandis;Cows
175;Yellow Toadflax;;Linaria vulgaris;Cows
176;Reed Canarygrass;;Phalaris arundinacea;Cows Sheep
177;Mezereum;Mezereon, February Daphne, Spurge Laurel, Spurge Olive;Daphne mezereum;Pigs Equines Rabbits
178;Devil's Backbone;;Kalanchoe daigremontiana;Chickens Turkeys Geese Ducks
179;Cutleaf Coneflower;Black-Eyed Susan;Rudbeckia laciniata;Cows Pigs
180;English Bluebell;Common Bluebell;Endymion non-scriptus;Cows Equines Alpacas
181;Yellow Iris;;Iris pseudacorus;Cows Pigs
182;Sunflower;;Helianthus annuus;Cows
183;Wormseed Mustard;;Erysimum cheiranthoides;Cows Pigs
184;Horseradish;;Armoracia rusticana;Pigs
185;Chives;;Allium schoenoprasum;Equines
186;Potato;;Solanum tuberosum;Cows Sheep Pigs Rabbits
187;Baccharis;Desert Broom, False Willow, Silverling, Yerba Manza, Yerba De Pasmo;Baccharis;Cows Sheep Rabbits
188;Bindweed;Wild Morning-Glory;Convolvulus arvensis;Equines Rabbits
189;Burdock;Lesser Burdock, Burweed;Arctium;Cows Chickens Turkeys Goats Geese Ducks Sheep Pigs Equines Llamas Alpacas
190;Clematis;Virgin's Bower, Traveller's Joy, Leather Flower;Clematis;Cows Goats Sheep Pigs Equines Llamas Alpacas
191;False Hellebore;Skunk Cabbage, Corn-Lily, Indian Poke, Indian Hellebore, Green False Hellebore, Giant False-Hellebore;Veratrum californicam, Veratrum viride, Veratrum alblum;Cows Sheep Llamas Alpacas Rabbits
192;Flatweed;Catsear, Cat's-Ear, False Dandelion;Hypochaeris radicata;Equines
193;Fringed Sage;Sagewort, Fringed Sagebrush, Prarie Sagewort, Arctic Sage, Pasture Sage, Sand Sage;Artemisia frigida, Artemisia filifolia;Equines
194;Hoary Alyssum;;Berteroa incana;Equines
195;Penstemon;Beard Tongue;Penstemon;Cows Goats Sheep Equines
196;Greater Celandine;;Solanum elaeagnifolium;Cows Goats Sheep Equines Pigs Rabbits
